Id,Label
flashback,flashback
car,car
title spoken by character,title spoken by character
psychotronic film,psychotronic film
kiss,kiss
car accident,car accident
hostage,hostage
england,england
montage,montage
blood,blood
machine gun,machine gun
cell phone,cell phone
betrayal,betrayal
photographer,photographer
dog,dog
female protagonist,female protagonist
taxi,taxi
strangulation,strangulation
flashlight,flashlight
surrealism,surrealism
female frontal nudity,female frontal nudity
pistol,pistol
hotel,hotel
beating,beating
brutality,brutality
drink,drink
nightmare,nightmare
vomiting,vomiting
independent film,independent film
boyfriend girlfriend relationship,boyfriend girlfriend relationship
blood splatter,blood splatter
corpse,corpse
church,church
watching tv,watching tv
husband wife relationship,husband wife relationship
shot in the chest,shot in the chest
supernatural power,supernatural power
suicide,suicide
no opening credits,no opening credits
chase,chase
mother son relationship,mother son relationship
hallucination,hallucination
man wears eyeglasses,man wears eyeglasses
prison,prison
anger,anger
arrest,arrest
marriage,marriage
brother brother relationship,brother brother relationship
drunkenness,drunkenness
pubic hair,pubic hair
secret,secret
shot in the head,shot in the head
subjective camera,subjective camera
shot to death,shot to death
fire,fire
female rear nudity,female rear nudity
letter,letter
car crash,car crash
forest,forest
sex,sex
criminal,criminal
character name in title,character name in title
apology,apology
based on true story,based on true story
elevator,elevator
father daughter relationship,father daughter relationship
tattoo,tattoo
mother daughter relationship,mother daughter relationship
survival,survival
money,money
horse,horse
pregnancy,pregnancy
suspense,suspense
explosion,explosion
male frontal nudity,male frontal nudity
stabbed to death,stabbed to death
jealousy,jealousy
rescue,rescue
friend,friend
looking at oneself in a mirror,looking at oneself in a mirror
cat,cat
crying,crying
foot chase,foot chase
male protagonist,male protagonist
rain,rain
france,france
male rear nudity,male rear nudity
female nudity,female nudity
photograph,photograph
memory,memory
snow,snow
dark comedy,dark comedy
female topless nudity,female topless nudity
gun,gun
doctor,doctor
nurse,nurse
death of father,death of father
old man,old man
underwater scene,underwater scene
escape,escape
slow motion scene,slow motion scene
psychopath,psychopath
rifle,rifle
camera,camera
undressing,undressing
two word title,two word title
paris france,paris france
deception,deception
gore,gore
priest,priest
held at gunpoint,held at gunpoint
drinking,drinking
motorcycle,motorcycle
bare chested male,bare chested male
murder,murder
nudity,nudity
helicopter,helicopter
father son relationship,father son relationship
race against time,race against time
beach,beach
bar,bar
europe,europe
boy,boy
female full frontal nudity,female full frontal nudity
police,police
revenge,revenge
family relationships,family relationships
kidnapping,kidnapping
mirror,mirror
f word,f word
soldier,soldier
fight,fight
adultery,adultery
infidelity,infidelity
stabbing,stabbing
funeral,funeral
teenage boy,teenage boy
rape,rape
restaurant,restaurant
brother sister relationship,brother sister relationship
male pubic hair,male pubic hair
surprise ending,surprise ending
paranoia,paranoia
f rated,f rated
attempted murder,attempted murder
young,young
dead body,dead body
telephone call,telephone call
punched in the face,punched in the face
hospital,hospital
investigation,investigation
girl,girl
dancing,dancing
cemetery,cemetery
shooting,shooting
london england,london england
love,love
based on novel,based on novel
male female relationship,male female relationship
prostitute,prostitute
death,death
male nudity,male nudity
lie,lie
cigarette smoking,cigarette smoking
prologue,prologue
one word title,one word title
shootout,shootout
woods,woods
shotgun,shotgun
theft,theft
singer,singer
shower,shower
knife,knife
torture,torture
song,song
boat,boat
sex scene,sex scene
extramarital affair,extramarital affair
written by director,written by director
sequel,sequel
violence,violence
friendship,friendship
fear,fear
shot in the back,shot in the back
falling from height,falling from height
food,food
singing,singing
train,train
party,party
police officer,police officer
teenage girl,teenage girl
airplane,airplane
ambush,ambush
dancer,dancer
knocked unconscious,knocked unconscious
slapped in the face,slapped in the face
nightclub,nightclub
voice over narration,voice over narration
cult film,cult film
fistfight,fistfight
